[Name]
Chart Line 1

[Data]
X [ m ],Pressure [ Pa ]
0.00000000e+000, 5.21753407e+000
3.03030312e-002, 5.18104553e+000
6.06060624e-002, 5.09185934e+000
9.09090936e-002, 4.98152065e+000
1.21212125e-001, 4.87529421e+000
1.51515156e-001, 4.78086615e+000
1.81818187e-001, 4.69688272e+000
2.12121218e-001, 4.62031889e+000
2.42424250e-001, 4.54890060e+000
2.72727281e-001, 4.48123598e+000
3.03030312e-001, 4.41630316e+000
3.33333343e-001, 4.35343933e+000
3.63636374e-001, 4.29253054e+000
3.93939406e-001, 4.23298216e+000
4.24242437e-001, 4.17473459e+000
4.54545468e-001, 4.11758995e+000
4.84848499e-001, 4.06142282e+000
5.15151501e-001, 4.00609827e+000
5.45454502e-001, 3.95150614e+000
5.75757504e-001, 3.89756250e+000
6.06060505e-001, 3.84419656e+000
6.36363506e-001, 3.79134750e+000
6.66666508e-001, 3.73896217e+000
6.96969509e-001, 3.68699384e+000
7.27272511e-001, 3.63540125e+000
7.57575512e-001, 3.58414507e+000
7.87878513e-001, 3.53319287e+000
8.18181515e-001, 3.48251557e+000
8.48484516e-001, 3.43208647e+000
8.78787518e-001, 3.38188171e+000
9.09090519e-001, 3.33187985e+000
9.39393520e-001, 3.28206182e+000
9.69696522e-001, 3.23241019e+000
9.99999523e-001, 3.18290949e+000
1.03030252e+000, 3.13354635e+000
1.06060553e+000, 3.08430719e+000
1.09090853e+000, 3.03518057e+000
1.12121153e+000, 2.98615623e+000
1.15151453e+000, 2.93722463e+000
1.18181753e+000, 2.88837743e+000
1.21212053e+000, 2.83960676e+000
1.24242353e+000, 2.79090548e+000
1.27272654e+000, 2.74226761e+000
1.30302954e+000, 2.69368672e+000
1.33333254e+000, 2.64515877e+000
1.36363554e+000, 2.59667778e+000
1.39393854e+000, 2.54823971e+000
1.42424154e+000, 2.49984097e+000
1.45454454e+000, 2.45147824e+000
1.48484755e+000, 2.40314746e+000
1.51515055e+000, 2.35484672e+000
1.54545355e+000, 2.30657220e+000
1.57575655e+000, 2.25832224e+000
1.60605955e+000, 2.21009421e+000
1.63636255e+000, 2.16188693e+000
1.66666555e+000, 2.11369753e+000
1.69696856e+000, 2.06552505e+000
1.72727156e+000, 2.01736736e+000
1.75757456e+000, 1.96922386e+000
1.78787756e+000, 1.92109263e+000
1.81818056e+000, 1.87297308e+000
1.84848356e+000, 1.82486355e+000
1.87878656e+000, 1.77676392e+000
1.90908957e+000, 1.72867250e+000
1.93939257e+000, 1.68058908e+000
1.96969557e+000, 1.63251269e+000
1.99999857e+000, 1.58444273e+000
2.03030157e+000, 1.53637874e+000
2.06060457e+000, 1.48831987e+000
2.09090757e+000, 1.44026613e+000
2.12121058e+000, 1.39221680e+000
2.15151358e+000, 1.34417164e+000
2.18181658e+000, 1.29613006e+000
2.21211958e+000, 1.24809158e+000
2.24242258e+000, 1.20005620e+000
2.27272558e+000, 1.15202379e+000
2.30302858e+000, 1.10399354e+000
2.33333158e+000, 1.05596578e+000
2.36363459e+000, 1.00794005e+000
2.39393759e+000, 9.59916532e-001
2.42424059e+000, 9.11894441e-001
2.45454359e+000, 8.63873839e-001
2.48484659e+000, 8.15854669e-001
2.51514959e+000, 7.67836809e-001
2.54545259e+000, 7.19820082e-001
2.57575560e+000, 6.71804547e-001
2.60605860e+000, 6.23789966e-001
2.63636160e+000, 5.75776458e-001
2.66666460e+000, 5.27763665e-001
2.69696760e+000, 4.79751438e-001
2.72727060e+000, 4.31739897e-001
2.75757360e+000, 3.83728981e-001
2.78787661e+000, 3.35718632e-001
2.81817961e+000, 2.87708670e-001
2.84848261e+000, 2.39698946e-001
2.87878561e+000, 1.91689044e-001
2.90908861e+000, 1.43675938e-001
2.93939161e+000, 9.56529751e-002
2.96969461e+000, 4.76098619e-002
2.99999762e+000, 3.92320566e-003


