[Name]
Chart Line 4

[Data]
Y [ m ],Temperature [ K ]
0.00000000e+000, 3.73149963e+002
1.01010106e-003, 3.73150024e+002
2.02020211e-003, 3.73149994e+002
3.03030317e-003, 3.73150024e+002
4.04040422e-003, 3.73149963e+002
5.05050551e-003, 3.73150024e+002
6.06060680e-003, 3.73150024e+002
7.07070809e-003, 3.73150024e+002
8.08080938e-003, 3.73149994e+002
9.09091067e-003, 3.73149994e+002
1.01010120e-002, 3.73149994e+002
1.11111132e-002, 3.73150024e+002
1.21212145e-002, 3.73149994e+002
1.31313158e-002, 3.73150024e+002
1.41414171e-002, 3.73149963e+002
1.51515184e-002, 3.73149994e+002
1.61616188e-002, 3.73149994e+002
1.71717200e-002, 3.73150024e+002
1.81818213e-002, 3.73149963e+002
1.91919226e-002, 3.73149994e+002
2.02020239e-002, 3.73149963e+002
2.12121252e-002, 3.73150024e+002
2.22222265e-002, 3.73150024e+002
2.32323278e-002, 3.73149994e+002
2.42424291e-002, 3.73149963e+002
2.52525304e-002, 3.73149994e+002
2.62626316e-002, 3.73149994e+002
2.72727329e-002, 3.73149994e+002
2.82828342e-002, 3.73149963e+002
2.92929355e-002, 3.73149963e+002
3.03030368e-002, 3.73149963e+002
3.13131362e-002, 3.73149933e+002
3.23232375e-002, 3.73149902e+002
3.33333388e-002, 3.73149902e+002
3.43434401e-002, 3.73149872e+002
3.53535414e-002, 3.73149811e+002
3.63636427e-002, 3.73149689e+002
3.73737440e-002, 3.73149536e+002
3.83838452e-002, 3.73149414e+002
3.93939465e-002, 3.73149261e+002
4.04040478e-002, 3.73148895e+002
4.14141491e-002, 3.73148132e+002
4.24242504e-002, 3.73147430e+002
4.34343517e-002, 3.73146698e+002
4.44444530e-002, 3.73145935e+002
4.54545543e-002, 3.73143677e+002
4.64646555e-002, 3.73140045e+002
4.74747568e-002, 3.73136475e+002
4.84848581e-002, 3.73132813e+002
4.94949594e-002, 3.73129242e+002
5.05050607e-002, 3.73118591e+002
5.15151620e-002, 3.73103333e+002
5.25252633e-002, 3.73088074e+002
5.35353646e-002, 3.73072876e+002
5.45454659e-002, 3.73057648e+002
5.55555671e-002, 3.73015930e+002
5.65656684e-002, 3.72960968e+002
5.75757697e-002, 3.72906006e+002
5.85858710e-002, 3.72851044e+002
5.95959723e-002, 3.72796112e+002
6.06060736e-002, 3.72659332e+002
6.16161749e-002, 3.72491882e+002
6.26262724e-002, 3.72324493e+002
6.36363700e-002, 3.72157013e+002
6.46464676e-002, 3.71989624e+002
6.56565651e-002, 3.71617004e+002
6.66666627e-002, 3.71189148e+002
6.76767603e-002, 3.70761292e+002
6.86868578e-002, 3.70333435e+002
6.96969554e-002, 3.69905609e+002
7.07070529e-002, 3.69063965e+002
7.17171505e-002, 3.68148254e+002
7.27272481e-002, 3.67232605e+002
7.37373456e-002, 3.66316925e+002
7.47474432e-002, 3.65401276e+002
7.57575408e-002, 3.63818481e+002
7.67676383e-002, 3.62168945e+002
7.77777359e-002, 3.60519318e+002
7.87878335e-002, 3.58869751e+002
7.97979310e-002, 3.57220123e+002
8.08080286e-002, 3.54715179e+002
8.18181261e-002, 3.52183350e+002
8.28282237e-002, 3.49651489e+002
8.38383213e-002, 3.47119659e+002
8.48484188e-002, 3.44562653e+002
8.58585164e-002, 3.41194275e+002
8.68686140e-002, 3.37825928e+002
8.78787115e-002, 3.34457550e+002
8.88888091e-002, 3.31089142e+002
8.98989066e-002, 3.27667236e+002
9.09090042e-002, 3.23707886e+002
9.19191018e-002, 3.19748596e+002
9.29291993e-002, 3.15789307e+002
9.39392969e-002, 3.11829956e+002
9.49493945e-002, 3.07995880e+002
9.59594920e-002, 3.04864441e+002
9.69695896e-002, 3.01733002e+002
9.79796872e-002, 2.98601563e+002
9.89897847e-002, 2.95470123e+002
9.99998823e-002, 2.91018585e+002


