[Name]
Chart Line 3

[Data]
Velocity u [ m s^-1 ],Y [ m ]
1.99492168e+000, 0.00000000e+000
1.99391508e+000, 1.01010106e-003
1.99290824e+000, 2.02020211e-003
1.99190164e+000, 3.03030317e-003
1.99089456e+000, 4.04040422e-003
1.98976529e+000, 5.05050551e-003
1.98674023e+000, 6.06060680e-003
1.98371494e+000, 7.07070809e-003
1.98068953e+000, 8.08080938e-003
1.97766423e+000, 9.09091067e-003
1.97439396e+000, 1.01010120e-002
1.96934724e+000, 1.11111132e-002
1.96430039e+000, 1.21212145e-002
1.95925379e+000, 1.31313158e-002
1.95420718e+000, 1.41414171e-002
1.94879317e+000, 1.51515184e-002
1.94172704e+000, 1.61616188e-002
1.93466079e+000, 1.71717200e-002
1.92759442e+000, 1.81818213e-002
1.92052817e+000, 1.91919226e-002
1.91297269e+000, 2.02020239e-002
1.90388739e+000, 2.12121252e-002
1.89480186e+000, 2.22222265e-002
1.88571632e+000, 2.32323278e-002
1.87663102e+000, 2.42424291e-002
1.86693370e+000, 2.52525304e-002
1.85582900e+000, 2.62626316e-002
1.84472418e+000, 2.72727329e-002
1.83361936e+000, 2.82828342e-002
1.82251465e+000, 2.92929355e-002
1.81067574e+000, 3.03030368e-002
1.79755139e+000, 3.13131362e-002
1.78442717e+000, 3.23232375e-002
1.77130294e+000, 3.33333388e-002
1.75817871e+000, 3.43434401e-002
1.74419785e+000, 3.53535414e-002
1.72905397e+000, 3.63636427e-002
1.71391022e+000, 3.73737440e-002
1.69876647e+000, 3.83838452e-002
1.68362260e+000, 3.93939465e-002
1.66749966e+000, 4.04040478e-002
1.65033603e+000, 4.14141491e-002
1.63317263e+000, 4.24242504e-002
1.61600924e+000, 4.34343517e-002
1.59884548e+000, 4.44444530e-002
1.58058023e+000, 4.54545543e-002
1.56139684e+000, 4.64646555e-002
1.54221320e+000, 4.74747568e-002
1.52302980e+000, 4.84848581e-002
1.50384629e+000, 4.94949594e-002
1.48343861e+000, 5.05050607e-002
1.46223509e+000, 5.15151620e-002
1.44103158e+000, 5.25252633e-002
1.41982806e+000, 5.35353646e-002
1.39862454e+000, 5.45454659e-002
1.37607443e+000, 5.55555671e-002
1.35285079e+000, 5.65656684e-002
1.32962704e+000, 5.75757697e-002
1.30640340e+000, 5.85858710e-002
1.28317976e+000, 5.95959723e-002
1.25848699e+000, 6.06060736e-002
1.23324299e+000, 6.16161749e-002
1.20799923e+000, 6.26262724e-002
1.18275523e+000, 6.36363700e-002
1.15751135e+000, 6.46464676e-002
1.13067591e+000, 6.56565651e-002
1.10341167e+000, 6.66666627e-002
1.07614744e+000, 6.76767603e-002
1.04888320e+000, 6.86868578e-002
1.02161884e+000, 6.96969554e-002
9.92640615e-001, 7.07070529e-002
9.63355660e-001, 7.17171505e-002
9.34071004e-001, 7.27272481e-002
9.04786050e-001, 7.37373456e-002
8.75501215e-001, 7.47474432e-002
8.44379544e-001, 7.57575408e-002
8.13073993e-001, 7.67676383e-002
7.81768322e-001, 7.77777359e-002
7.50462770e-001, 7.87878335e-002
7.19157100e-001, 7.97979310e-002
6.85892463e-001, 8.08080286e-002
6.52566195e-001, 8.18181261e-002
6.19239926e-001, 8.28282237e-002
5.85913658e-001, 8.38383213e-002
5.52526653e-001, 8.48484188e-002
5.17181754e-001, 8.58585164e-002
4.81837034e-001, 8.68686140e-002
4.46492016e-001, 8.78787115e-002
4.11147147e-001, 8.88888091e-002
3.75619888e-001, 8.98989066e-002
3.38263392e-001, 9.09090042e-002
3.00906897e-001, 9.19191018e-002
2.63550282e-001, 9.29291993e-002
2.26193711e-001, 9.39392969e-002
1.88531905e-001, 9.49493945e-002
1.49157226e-001, 9.59594920e-002
1.09782547e-001, 9.69695896e-002
7.04078674e-002, 9.79796872e-002
3.10331956e-002, 9.89897847e-002
0.00000000e+000, 9.99998823e-002


