[Name]
Series 1 for Case Mesh 4 at /LINE:Axial location 4

[Data]
Y [ m ],Velocity u [ m s^-1 ]
0.00000000e+000, 1.92995656e+000
1.01010106e-003, 1.92955375e+000
2.02020211e-003, 1.92915118e+000
3.03030317e-003, 1.92874861e+000
4.04040422e-003, 1.92834568e+000
5.05050551e-003, 1.92782056e+000
6.06060680e-003, 1.92539597e+000
7.07070809e-003, 1.92297161e+000
8.08080938e-003, 1.92054713e+000
9.09091067e-003, 1.91812277e+000
1.01010120e-002, 1.91549754e+000
1.11111132e-002, 1.91141844e+000
1.21212145e-002, 1.90733933e+000
1.31313158e-002, 1.90325999e+000
1.41414171e-002, 1.89918077e+000
1.51515184e-002, 1.89479053e+000
1.61616188e-002, 1.88900042e+000
1.71717200e-002, 1.88321042e+000
1.81818213e-002, 1.87742019e+000
1.91919226e-002, 1.87163043e+000
2.02020239e-002, 1.86540806e+000
2.12121252e-002, 1.85783529e+000
2.22222265e-002, 1.85026240e+000
2.32323278e-002, 1.84268951e+000
2.42424291e-002, 1.83511662e+000
2.52525304e-002, 1.82697856e+000
2.62626316e-002, 1.81754017e+000
2.72727329e-002, 1.80810213e+000
2.82828342e-002, 1.79866385e+000
2.92929355e-002, 1.78922558e+000
3.03030368e-002, 1.77907729e+000
3.13131362e-002, 1.76768625e+000
3.23232375e-002, 1.75629520e+000
3.33333388e-002, 1.74490428e+000
3.43434401e-002, 1.73351324e+000
3.53535414e-002, 1.72125733e+000
3.63636427e-002, 1.70782757e+000
3.73737440e-002, 1.69439769e+000
3.83838452e-002, 1.68096781e+000
3.93939465e-002, 1.66753793e+000
4.04040478e-002, 1.65308142e+000
4.14141491e-002, 1.63753355e+000
4.24242504e-002, 1.62198567e+000
4.34343517e-002, 1.60643768e+000
4.44444530e-002, 1.59089005e+000
4.54545543e-002, 1.57414985e+000
4.64646555e-002, 1.55641592e+000
4.74747568e-002, 1.53868186e+000
4.84848581e-002, 1.52094793e+000
4.94949594e-002, 1.50321388e+000
5.05050607e-002, 1.48412251e+000
5.15151620e-002, 1.46414888e+000
5.25252633e-002, 1.44417524e+000
5.35353646e-002, 1.42420149e+000
5.45454659e-002, 1.40422785e+000
5.55555671e-002, 1.38273609e+000
5.65656684e-002, 1.36048508e+000
5.75757697e-002, 1.33823395e+000
5.85858710e-002, 1.31598294e+000
5.95959723e-002, 1.29373193e+000
6.06060736e-002, 1.26980913e+000
6.16161749e-002, 1.24525917e+000
6.26262724e-002, 1.22070932e+000
6.36363700e-002, 1.19615936e+000
6.46464676e-002, 1.17160952e+000
6.56565651e-002, 1.14524329e+000
6.66666627e-002, 1.11838782e+000
6.76767603e-002, 1.09153223e+000
6.86868578e-002, 1.06467676e+000
6.96969554e-002, 1.03782129e+000
7.07070529e-002, 1.00901473e+000
7.17171505e-002, 9.79859471e-001
7.27272481e-002, 9.50704098e-001
7.37373456e-002, 9.21548784e-001
7.47474432e-002, 8.92393529e-001
7.57575408e-002, 8.61161470e-001
7.67676383e-002, 8.29721510e-001
7.77777359e-002, 7.98281431e-001
7.87878335e-002, 7.66841471e-001
7.97979310e-002, 7.35401452e-001
8.08080286e-002, 7.01766670e-001
8.18181261e-002, 6.68062925e-001
8.28282237e-002, 6.34359300e-001
8.38383213e-002, 6.00655675e-001
8.48484188e-002, 5.66884518e-001
8.58585164e-002, 5.30940473e-001
8.68686140e-002, 4.94996548e-001
8.78787115e-002, 4.59052593e-001
8.88888091e-002, 4.23108578e-001
8.98989066e-002, 3.86963457e-001
9.09090042e-002, 3.48801374e-001
9.19191018e-002, 3.10639292e-001
9.29291993e-002, 2.72477150e-001
9.39392969e-002, 2.34315097e-001
9.49493945e-002, 1.95741773e-001
9.59594920e-002, 1.54861242e-001
9.69695896e-002, 1.13980800e-001
9.79796872e-002, 7.31004030e-002
9.89897847e-002, 3.22199427e-002
9.99998823e-002, 0.00000000e+000


