[Name]
Chart Line 5

[Data]
X [ m ],Pressure [ Pa ]
0.00000000e+000, 5.26298571e+000
3.03030312e-002, 5.22920895e+000
6.06060624e-002, 5.13818502e+000
9.09090936e-002, 5.02794027e+000
1.21212125e-001, 4.92240477e+000
1.51515156e-001, 4.82788277e+000
1.81818187e-001, 4.74316072e+000
2.12121218e-001, 4.66565275e+000
2.42424250e-001, 4.59327126e+000
2.72727281e-001, 4.52462292e+000
3.03030312e-001, 4.45881128e+000
3.33333343e-001, 4.39524555e+000
3.63636374e-001, 4.33351707e+000
3.93939406e-001, 4.27332640e+000
4.24242437e-001, 4.21444416e+000
4.54545468e-001, 4.15669203e+000
4.84848499e-001, 4.09991932e+000
5.15151501e-001, 4.04400682e+000
5.45454502e-001, 3.98885608e+000
5.75757504e-001, 3.93437290e+000
6.06060505e-001, 3.88048816e+000
6.36363506e-001, 3.82713485e+000
6.66666508e-001, 3.77425814e+000
6.96969509e-001, 3.72180843e+000
7.27272511e-001, 3.66974139e+000
7.57575512e-001, 3.61801934e+000
7.87878513e-001, 3.56660795e+000
8.18181515e-001, 3.51547670e+000
8.48484516e-001, 3.46459770e+000
8.78787518e-001, 3.41394687e+000
9.09090519e-001, 3.36350179e+000
9.39393520e-001, 3.31324363e+000
9.69696522e-001, 3.26315379e+000
9.99999523e-001, 3.21321702e+000
1.03030252e+000, 3.16341829e+000
1.06060553e+000, 3.11374450e+000
1.09090853e+000, 3.06418467e+000
1.12121153e+000, 3.01472735e+000
1.15151453e+000, 2.96536303e+000
1.18181753e+000, 2.91608357e+000
1.21212053e+000, 2.86688042e+000
1.24242353e+000, 2.81774640e+000
1.27272654e+000, 2.76867604e+000
1.30302954e+000, 2.71966219e+000
1.33333254e+000, 2.67070031e+000
1.36363554e+000, 2.62178516e+000
1.39393854e+000, 2.57291293e+000
1.42424154e+000, 2.52407932e+000
1.45454454e+000, 2.47528052e+000
1.48484755e+000, 2.42651391e+000
1.51515055e+000, 2.37777567e+000
1.54545355e+000, 2.32906389e+000
1.57575655e+000, 2.28037524e+000
1.60605955e+000, 2.23170805e+000
1.63636255e+000, 2.18306041e+000
1.66666555e+000, 2.13443065e+000
1.69696856e+000, 2.08581734e+000
1.72727156e+000, 2.03722048e+000
1.75757456e+000, 1.98863912e+000
1.78787756e+000, 1.94007266e+000
1.81818056e+000, 1.89152050e+000
1.84848356e+000, 1.84298122e+000
1.87878656e+000, 1.79445338e+000
1.90908957e+000, 1.74593472e+000
1.93939257e+000, 1.69742322e+000
1.96969557e+000, 1.64891708e+000
1.99999857e+000, 1.60041451e+000
2.03030157e+000, 1.55191386e+000
2.06060457e+000, 1.50341439e+000
2.09090757e+000, 1.45491564e+000
2.12121058e+000, 1.40641713e+000
2.15151358e+000, 1.35791886e+000
2.18181658e+000, 1.30942047e+000
2.21211958e+000, 1.26092219e+000
2.24242258e+000, 1.21242368e+000
2.27272558e+000, 1.16392541e+000
2.30302858e+000, 1.11542690e+000
2.33333158e+000, 1.06692874e+000
2.36363459e+000, 1.01843023e+000
2.39393759e+000, 9.69931841e-001
2.42424059e+000, 9.21433389e-001
2.45454359e+000, 8.72935057e-001
2.48484659e+000, 8.24436665e-001
2.51514959e+000, 7.75938630e-001
2.54545259e+000, 7.27440119e-001
2.57575560e+000, 6.78941846e-001
2.60605860e+000, 6.30443454e-001
2.63636160e+000, 5.81945062e-001
2.66666460e+000, 5.33446670e-001
2.69696760e+000, 4.84948277e-001
2.72727060e+000, 4.36449826e-001
2.75757360e+000, 3.87951434e-001
2.78787661e+000, 3.39453101e-001
2.81817961e+000, 2.90954888e-001
2.84848261e+000, 2.42456362e-001
2.87878561e+000, 1.93957806e-001
2.90908861e+000, 1.45458311e-001
2.93939161e+000, 9.69562382e-002
2.96969461e+000, 4.84469384e-002
2.99999762e+000, 1.00888300e-003


