[Name]
Chart Line 3

[Data]
Y [ m ],Temperature [ K ]
0.00000000e+000, 3.73149963e+002
1.01010106e-003, 3.73149963e+002
2.02020211e-003, 3.73149994e+002
3.03030317e-003, 3.73149963e+002
4.04040422e-003, 3.73149994e+002
5.05050551e-003, 3.73149994e+002
6.06060680e-003, 3.73149994e+002
7.07070809e-003, 3.73149963e+002
8.08080938e-003, 3.73150024e+002
9.09091067e-003, 3.73149994e+002
1.01010120e-002, 3.73149994e+002
1.11111132e-002, 3.73149994e+002
1.21212145e-002, 3.73149963e+002
1.31313158e-002, 3.73149963e+002
1.41414171e-002, 3.73149963e+002
1.51515184e-002, 3.73149963e+002
1.61616188e-002, 3.73149963e+002
1.71717200e-002, 3.73149994e+002
1.81818213e-002, 3.73149963e+002
1.91919226e-002, 3.73149933e+002
2.02020239e-002, 3.73149963e+002
2.12121252e-002, 3.73149902e+002
2.22222265e-002, 3.73149841e+002
2.32323278e-002, 3.73149811e+002
2.42424291e-002, 3.73149719e+002
2.52525304e-002, 3.73149689e+002
2.62626316e-002, 3.73149658e+002
2.72727329e-002, 3.73149597e+002
2.82828342e-002, 3.73149536e+002
2.92929355e-002, 3.73149506e+002
3.03030368e-002, 3.73149261e+002
3.13131362e-002, 3.73148560e+002
3.23232375e-002, 3.73147919e+002
3.33333388e-002, 3.73147247e+002
3.43434401e-002, 3.73146606e+002
3.53535414e-002, 3.73145935e+002
3.63636427e-002, 3.73145264e+002
3.73737440e-002, 3.73144592e+002
3.83838452e-002, 3.73143921e+002
3.93939465e-002, 3.73143280e+002
4.04040478e-002, 3.73139404e+002
4.14141491e-002, 3.73132050e+002
4.24242504e-002, 3.73124725e+002
4.34343517e-002, 3.73117371e+002
4.44444530e-002, 3.73110046e+002
4.54545543e-002, 3.73102722e+002
4.64646555e-002, 3.73095367e+002
4.74747568e-002, 3.73088074e+002
4.84848581e-002, 3.73080719e+002
4.94949594e-002, 3.73073395e+002
5.05050607e-002, 3.73033783e+002
5.15151620e-002, 3.72973206e+002
5.25252633e-002, 3.72912628e+002
5.35353646e-002, 3.72852051e+002
5.45454659e-002, 3.72791443e+002
5.55555671e-002, 3.72730896e+002
5.65656684e-002, 3.72670288e+002
5.75757697e-002, 3.72609711e+002
5.85858710e-002, 3.72549133e+002
5.95959723e-002, 3.72488525e+002
6.06060736e-002, 3.72219788e+002
6.16161749e-002, 3.71872925e+002
6.26262724e-002, 3.71526062e+002
6.36363700e-002, 3.71179199e+002
6.46464676e-002, 3.70832336e+002
6.56565651e-002, 3.70485474e+002
6.66666627e-002, 3.70138611e+002
6.76767603e-002, 3.69791718e+002
6.86868578e-002, 3.69444855e+002
6.96969554e-002, 3.69097992e+002
7.07070529e-002, 3.67968079e+002
7.17171505e-002, 3.66698212e+002
7.27272481e-002, 3.65428345e+002
7.37373456e-002, 3.64158508e+002
7.47474432e-002, 3.62888611e+002
7.57575408e-002, 3.61618713e+002
7.67676383e-002, 3.60348877e+002
7.77777359e-002, 3.59079010e+002
7.87878335e-002, 3.57809113e+002
7.97979310e-002, 3.56539246e+002
8.08080286e-002, 3.53760803e+002
8.18181261e-002, 3.50935028e+002
8.28282237e-002, 3.48109161e+002
8.38383213e-002, 3.45283325e+002
8.48484188e-002, 3.42457520e+002
8.58585164e-002, 3.39631683e+002
8.68686140e-002, 3.36805847e+002
8.78787115e-002, 3.33980042e+002
8.88888091e-002, 3.31154205e+002
8.98989066e-002, 3.28322113e+002
9.09090042e-002, 3.25427429e+002
9.19191018e-002, 3.22532776e+002
9.29291993e-002, 3.19638092e+002
9.39392969e-002, 3.16743378e+002
9.49493945e-002, 3.13848755e+002
9.59594920e-002, 3.10954041e+002
9.69695896e-002, 3.08059387e+002
9.79796872e-002, 3.05164703e+002
9.89897847e-002, 3.02270020e+002
9.99998823e-002, 2.97625366e+002


