[Name]
Chart Line 4

[Data]
Y [ m ],Temperature [ K ]
0.00000000e+000, 3.73149963e+002
1.01010106e-003, 3.73150024e+002
2.02020211e-003, 3.73149994e+002
3.03030317e-003, 3.73150024e+002
4.04040422e-003, 3.73149963e+002
5.05050551e-003, 3.73149963e+002
6.06060680e-003, 3.73150024e+002
7.07070809e-003, 3.73150024e+002
8.08080938e-003, 3.73150024e+002
9.09091067e-003, 3.73150024e+002
1.01010120e-002, 3.73150024e+002
1.11111132e-002, 3.73150024e+002
1.21212145e-002, 3.73150024e+002
1.31313158e-002, 3.73150024e+002
1.41414171e-002, 3.73149994e+002
1.51515184e-002, 3.73150024e+002
1.61616188e-002, 3.73150024e+002
1.71717200e-002, 3.73150024e+002
1.81818213e-002, 3.73149994e+002
1.91919226e-002, 3.73149994e+002
2.02020239e-002, 3.73149994e+002
2.12121252e-002, 3.73149994e+002
2.22222265e-002, 3.73149994e+002
2.32323278e-002, 3.73150024e+002
2.42424291e-002, 3.73149994e+002
2.52525304e-002, 3.73149963e+002
2.62626316e-002, 3.73150024e+002
2.72727329e-002, 3.73149963e+002
2.82828342e-002, 3.73149963e+002
2.92929355e-002, 3.73149963e+002
3.03030368e-002, 3.73149963e+002
3.13131362e-002, 3.73149963e+002
3.23232375e-002, 3.73149963e+002
3.33333388e-002, 3.73149963e+002
3.43434401e-002, 3.73149994e+002
3.53535414e-002, 3.73149994e+002
3.63636427e-002, 3.73149963e+002
3.73737440e-002, 3.73149963e+002
3.83838452e-002, 3.73149963e+002
3.93939465e-002, 3.73149963e+002
4.04040478e-002, 3.73149963e+002
4.14141491e-002, 3.73149963e+002
4.24242504e-002, 3.73149963e+002
4.34343517e-002, 3.73149963e+002
4.44444530e-002, 3.73149963e+002
4.54545543e-002, 3.73149902e+002
4.64646555e-002, 3.73149780e+002
4.74747568e-002, 3.73149628e+002
4.84848581e-002, 3.73149506e+002
4.94949594e-002, 3.73149384e+002
5.05050607e-002, 3.73148682e+002
5.15151620e-002, 3.73147644e+002
5.25252633e-002, 3.73146606e+002
5.35353646e-002, 3.73145569e+002
5.45454659e-002, 3.73144531e+002
5.55555671e-002, 3.73139313e+002
5.65656684e-002, 3.73131989e+002
5.75757697e-002, 3.73124664e+002
5.85858710e-002, 3.73117371e+002
5.95959723e-002, 3.73110046e+002
6.06060736e-002, 3.73077393e+002
6.16161749e-002, 3.73035278e+002
6.26262724e-002, 3.72993164e+002
6.36363700e-002, 3.72950989e+002
6.46464676e-002, 3.72908875e+002
6.56565651e-002, 3.72747833e+002
6.66666627e-002, 3.72554749e+002
6.76767603e-002, 3.72361633e+002
6.86868578e-002, 3.72168518e+002
6.96969554e-002, 3.71975464e+002
7.07070529e-002, 3.71359711e+002
7.17171505e-002, 3.70668457e+002
7.27272481e-002, 3.69977173e+002
7.37373456e-002, 3.69285919e+002
7.47474432e-002, 3.68594666e+002
7.57575408e-002, 3.66796112e+002
7.67676383e-002, 3.64886658e+002
7.77777359e-002, 3.62977173e+002
7.87878335e-002, 3.61067688e+002
7.97979310e-002, 3.59158264e+002
8.08080286e-002, 3.55154816e+002
8.18181261e-002, 3.51085571e+002
8.28282237e-002, 3.47016357e+002
8.38383213e-002, 3.42947083e+002
8.48484188e-002, 3.38795776e+002
8.58585164e-002, 3.31999847e+002
8.68686140e-002, 3.25203949e+002
8.78787115e-002, 3.18408020e+002
8.88888091e-002, 3.11612091e+002
8.98989066e-002, 3.04601929e+002
9.09090042e-002, 2.95443481e+002
9.19191018e-002, 2.86284973e+002
9.29291993e-002, 2.77126465e+002
9.39392969e-002, 2.67967987e+002
9.49493945e-002, 2.58618317e+002
9.59594920e-002, 2.48196091e+002
9.69695896e-002, 2.37773926e+002
9.79796872e-002, 2.27351715e+002
9.89897847e-002, 2.16929504e+002
9.99998823e-002, 2.08795166e+002


