[Name]
Chart Line 3

[Data]
Velocity u [ m s^-1 ],Y [ m ]
1.99496722e+000, 0.00000000e+000
1.99396038e+000, 1.01010106e-003
1.99295342e+000, 2.02020211e-003
1.99194646e+000, 3.03030317e-003
1.99093938e+000, 4.04040422e-003
1.98981011e+000, 5.05050551e-003
1.98678470e+000, 6.06060680e-003
1.98375893e+000, 7.07070809e-003
1.98073339e+000, 8.08080938e-003
1.97770762e+000, 9.09091067e-003
1.97443700e+000, 1.01010120e-002
1.96938968e+000, 1.11111132e-002
1.96434212e+000, 1.21212145e-002
1.95929480e+000, 1.31313158e-002
1.95424747e+000, 1.41414171e-002
1.94883263e+000, 1.51515184e-002
1.94176555e+000, 1.61616188e-002
1.93469846e+000, 1.71717200e-002
1.92763138e+000, 1.81818213e-002
1.92056394e+000, 1.91919226e-002
1.91300750e+000, 2.02020239e-002
1.90392113e+000, 2.12121252e-002
1.89483452e+000, 2.22222265e-002
1.88574791e+000, 2.32323278e-002
1.87666154e+000, 2.42424291e-002
1.86696315e+000, 2.52525304e-002
1.85585713e+000, 2.62626316e-002
1.84475112e+000, 2.72727329e-002
1.83364534e+000, 2.82828342e-002
1.82253921e+000, 2.92929355e-002
1.81069911e+000, 3.03030368e-002
1.79757357e+000, 3.13131362e-002
1.78444815e+000, 3.23232375e-002
1.77132273e+000, 3.33333388e-002
1.75819731e+000, 3.43434401e-002
1.74421525e+000, 3.53535414e-002
1.72907019e+000, 3.63636427e-002
1.71392500e+000, 3.73737440e-002
1.69878006e+000, 3.83838452e-002
1.68363500e+000, 3.93939465e-002
1.66751075e+000, 4.04040478e-002
1.65034604e+000, 4.14141491e-002
1.63318133e+000, 4.24242504e-002
1.61601663e+000, 4.34343517e-002
1.59885192e+000, 4.44444530e-002
1.58058548e+000, 4.54545543e-002
1.56140089e+000, 4.64646555e-002
1.54221642e+000, 4.74747568e-002
1.52303195e+000, 4.84848581e-002
1.50384736e+000, 4.94949594e-002
1.48343885e+000, 5.05050607e-002
1.46223450e+000, 5.15151620e-002
1.44103003e+000, 5.25252633e-002
1.41982567e+000, 5.35353646e-002
1.39862132e+000, 5.45454659e-002
1.37607050e+000, 5.55555671e-002
1.35284626e+000, 5.65656684e-002
1.32962179e+000, 5.75757697e-002
1.30639756e+000, 5.85858710e-002
1.28317308e+000, 5.95959723e-002
1.25847995e+000, 6.06060736e-002
1.23323560e+000, 6.16161749e-002
1.20799136e+000, 6.26262724e-002
1.18274689e+000, 6.36363700e-002
1.15750265e+000, 6.46464676e-002
1.13066697e+000, 6.56565651e-002
1.10340238e+000, 6.66666627e-002
1.07613802e+000, 6.76767603e-002
1.04887342e+000, 6.86868578e-002
1.02160895e+000, 6.96969554e-002
9.92630601e-001, 7.07070529e-002
9.63345647e-001, 7.17171505e-002
9.34060931e-001, 7.27272481e-002
9.04776037e-001, 7.37373456e-002
8.75491261e-001, 7.47474432e-002
8.44369709e-001, 7.57575408e-002
8.13064337e-001, 7.67676383e-002
7.81758785e-001, 7.77777359e-002
7.50453353e-001, 7.87878335e-002
7.19147861e-001, 7.97979310e-002
6.85883582e-001, 8.08080286e-002
6.52557731e-001, 8.18181261e-002
6.19231761e-001, 8.28282237e-002
5.85905790e-001, 8.38383213e-002
5.52519202e-001, 8.48484188e-002
5.17174721e-001, 8.58585164e-002
4.81830418e-001, 8.68686140e-002
4.46485877e-001, 8.78787115e-002
4.11141425e-001, 8.88888091e-002
3.75614613e-001, 8.98989066e-002
3.38258624e-001, 9.09090042e-002
3.00902635e-001, 9.19191018e-002
2.63546526e-001, 9.29291993e-002
2.26190478e-001, 9.39392969e-002
1.88529208e-001, 9.49493945e-002
1.49155095e-001, 9.59594920e-002
1.09780975e-001, 9.69695896e-002
7.04068616e-002, 9.79796872e-002
3.10327504e-002, 9.89897847e-002
0.00000000e+000, 9.99998823e-002


