[Name]
Chart Line 3

[Data]
Velocity u [ m s^-1 ],Y [ m ]
1.99491072e+000, 0.00000000e+000
1.99390423e+000, 1.01010106e-003
1.99289727e+000, 2.02020211e-003
1.99189043e+000, 3.03030317e-003
1.99088359e+000, 4.04040422e-003
1.98975456e+000, 5.05050551e-003
1.98672950e+000, 6.06060680e-003
1.98370433e+000, 7.07070809e-003
1.98067904e+000, 8.08080938e-003
1.97765398e+000, 9.09091067e-003
1.97438371e+000, 1.01010120e-002
1.96933722e+000, 1.11111132e-002
1.96429062e+000, 1.21212145e-002
1.95924401e+000, 1.31313158e-002
1.95419765e+000, 1.41414171e-002
1.94878364e+000, 1.51515184e-002
1.94171762e+000, 1.61616188e-002
1.93465185e+000, 1.71717200e-002
1.92758572e+000, 1.81818213e-002
1.92051971e+000, 1.91919226e-002
1.91296434e+000, 2.02020239e-002
1.90387940e+000, 2.12121252e-002
1.89479423e+000, 2.22222265e-002
1.88570869e+000, 2.32323278e-002
1.87662375e+000, 2.42424291e-002
1.86692667e+000, 2.52525304e-002
1.85582209e+000, 2.62626316e-002
1.84471774e+000, 2.72727329e-002
1.83361316e+000, 2.82828342e-002
1.82250881e+000, 2.92929355e-002
1.81067002e+000, 3.03030368e-002
1.79754615e+000, 3.13131362e-002
1.78442216e+000, 3.23232375e-002
1.77129817e+000, 3.33333388e-002
1.75817430e+000, 3.43434401e-002
1.74419367e+000, 3.53535414e-002
1.72905016e+000, 3.63636427e-002
1.71390653e+000, 3.73737440e-002
1.69876313e+000, 3.83838452e-002
1.68361962e+000, 3.93939465e-002
1.66749692e+000, 4.04040478e-002
1.65033364e+000, 4.14141491e-002
1.63317037e+000, 4.24242504e-002
1.61600721e+000, 4.34343517e-002
1.59884381e+000, 4.44444530e-002
1.58057880e+000, 4.54545543e-002
1.56139565e+000, 4.64646555e-002
1.54221237e+000, 4.74747568e-002
1.52302921e+000, 4.84848581e-002
1.50384605e+000, 4.94949594e-002
1.48343861e+000, 5.05050607e-002
1.46223521e+000, 5.15151620e-002
1.44103193e+000, 5.25252633e-002
1.41982865e+000, 5.35353646e-002
1.39862525e+000, 5.45454659e-002
1.37607539e+000, 5.55555671e-002
1.35285175e+000, 5.65656684e-002
1.32962823e+000, 5.75757697e-002
1.30640471e+000, 5.85858710e-002
1.28318107e+000, 5.95959723e-002
1.25848866e+000, 6.06060736e-002
1.23324478e+000, 6.16161749e-002
1.20800114e+000, 6.26262724e-002
1.18275726e+000, 6.36363700e-002
1.15751362e+000, 6.46464676e-002
1.13067806e+000, 6.56565651e-002
1.10341382e+000, 6.66666627e-002
1.07614970e+000, 6.76767603e-002
1.04888535e+000, 6.86868578e-002
1.02162111e+000, 6.96969554e-002
9.92642879e-001, 7.07070529e-002
9.63357925e-001, 7.17171505e-002
9.34073329e-001, 7.27272481e-002
9.04788435e-001, 7.37373456e-002
8.75503719e-001, 7.47474432e-002
8.44382048e-001, 7.57575408e-002
8.13076377e-001, 7.67676383e-002
7.81770706e-001, 7.77777359e-002
7.50465035e-001, 7.87878335e-002
7.19159305e-001, 7.97979310e-002
6.85894668e-001, 8.08080286e-002
6.52568340e-001, 8.18181261e-002
6.19241953e-001, 8.28282237e-002
5.85915565e-001, 8.38383213e-002
5.52528501e-001, 8.48484188e-002
5.17183542e-001, 8.58585164e-002
4.81838644e-001, 8.68686140e-002
4.46493566e-001, 8.78787115e-002
4.11148638e-001, 8.88888091e-002
3.75621229e-001, 8.98989066e-002
3.38264644e-001, 9.09090042e-002
3.00907969e-001, 9.19191018e-002
2.63551235e-001, 9.29291993e-002
2.26194561e-001, 9.39392969e-002
1.88532621e-001, 9.49493945e-002
1.49157792e-001, 9.59594920e-002
1.09782957e-001, 9.69695896e-002
7.04081357e-002, 9.79796872e-002
3.10333110e-002, 9.89897847e-002
0.00000000e+000, 9.99998823e-002


