[Name]
Chart Line 9

[Data]
Velocity u [ m s^-1 ],Y [ m ]
1.99669242e+000, 0.00000000e+000
1.99619174e+000, 1.01010106e-003
1.99569118e+000, 2.02020211e-003
1.99465775e+000, 3.03030317e-003
1.99315238e+000, 4.04040422e-003
1.99158597e+000, 5.05050551e-003
1.98907280e+000, 6.06060680e-003
1.98655987e+000, 7.07070809e-003
1.98345232e+000, 8.08080938e-003
1.97993326e+000, 9.09091067e-003
1.97629261e+000, 1.01010120e-002
1.97176778e+000, 1.11111132e-002
1.96724319e+000, 1.21212145e-002
1.96206260e+000, 1.31313158e-002
1.95653129e+000, 1.41414171e-002
1.95081711e+000, 1.51515184e-002
1.94427919e+000, 1.61616188e-002
1.93774140e+000, 1.71717200e-002
1.93048620e+000, 1.81818213e-002
1.92294121e+000, 1.91919226e-002
1.91515183e+000, 2.02020239e-002
1.90659881e+000, 2.12121252e-002
1.89804578e+000, 2.22222265e-002
1.88871360e+000, 2.32323278e-002
1.87915230e+000, 2.42424291e-002
1.86928523e+000, 2.52525304e-002
1.85871482e+000, 2.62626316e-002
1.84814453e+000, 2.72727329e-002
1.83673286e+000, 2.82828342e-002
1.82515252e+000, 2.92929355e-002
1.81320500e+000, 3.03030368e-002
1.80061448e+000, 3.13131362e-002
1.78802371e+000, 3.23232375e-002
1.77452946e+000, 3.33333388e-002
1.76092756e+000, 3.43434401e-002
1.74689674e+000, 3.53535414e-002
1.73228323e+000, 3.63636427e-002
1.71766961e+000, 3.73737440e-002
1.70208991e+000, 3.83838452e-002
1.68646371e+000, 3.93939465e-002
1.67034662e+000, 4.04040478e-002
1.65370750e+000, 4.14141491e-002
1.63705301e+000, 4.24242504e-002
1.61940002e+000, 4.34343517e-002
1.60174727e+000, 4.44444530e-002
1.58354115e+000, 4.54545543e-002
1.56487417e+000, 4.64646555e-002
1.54613018e+000, 4.74747568e-002
1.52644825e+000, 4.84848581e-002
1.50676632e+000, 4.94949594e-002
1.48646927e+000, 5.05050607e-002
1.46577203e+000, 5.15151620e-002
1.44493639e+000, 5.25252633e-002
1.42322361e+000, 5.35353646e-002
1.40151072e+000, 5.45454659e-002
1.37912083e+000, 5.55555671e-002
1.35639203e+000, 5.65656684e-002
1.33346319e+000, 5.75757697e-002
1.30971825e+000, 5.85858710e-002
1.28597319e+000, 5.95959723e-002
1.26148915e+000, 6.06060736e-002
1.23672783e+000, 6.16161749e-002
1.21170473e+000, 6.26262724e-002
1.18592691e+000, 6.36363700e-002
1.16014910e+000, 6.46464676e-002
1.13357055e+000, 6.56565651e-002
1.10677624e+000, 6.66666627e-002
1.07965875e+000, 6.76767603e-002
1.05184770e+000, 6.86868578e-002
1.02403677e+000, 6.96969554e-002
9.95363593e-001, 7.07070529e-002
9.66536224e-001, 7.17171505e-002
9.37323987e-001, 7.27272481e-002
9.07480359e-001, 7.37373456e-002
8.77636611e-001, 7.47474432e-002
8.46869230e-001, 7.57575408e-002
8.16009283e-001, 7.67676383e-002
7.84703076e-001, 7.77777359e-002
7.52827227e-001, 7.87878335e-002
7.20951378e-001, 7.97979310e-002
6.88091040e-001, 8.08080286e-002
6.55199587e-001, 8.18181261e-002
6.21800601e-001, 8.28282237e-002
5.87894022e-001, 8.38383213e-002
5.53956628e-001, 8.48484188e-002
5.19034922e-001, 8.58585164e-002
4.84113097e-001, 8.68686140e-002
4.48623180e-001, 8.78787115e-002
4.12687153e-001, 8.88888091e-002
3.76659334e-001, 8.98989066e-002
3.39709640e-001, 9.09090042e-002
3.02760065e-001, 9.19191018e-002
2.65182137e-001, 9.29291993e-002
2.27220774e-001, 9.39392969e-002
1.89106733e-001, 9.49493945e-002
1.50136098e-001, 9.59594920e-002
1.11165471e-001, 9.69695896e-002
7.15023056e-002, 9.79796872e-002
3.15155834e-002, 9.89897847e-002
0.00000000e+000, 9.99998823e-002


