[Name]
Chart Line 2

[Data]
X [ m ],Pressure [ Pa ]
0.00000000e+000, 5.25251484e+000
3.03030312e-002, 5.21826363e+000
6.06060624e-002, 5.12767506e+000
9.09090936e-002, 5.01747799e+000
1.21212125e-001, 4.91199780e+000
1.51515156e-001, 4.81765461e+000
1.81818187e-001, 4.73317242e+000
2.12121218e-001, 4.65590382e+000
2.42424250e-001, 4.58374166e+000
2.72727281e-001, 4.51528597e+000
3.03030312e-001, 4.44964981e+000
3.33333343e-001, 4.38624287e+000
3.63636374e-001, 4.32466364e+000
3.93939406e-001, 4.26460218e+000
4.24242437e-001, 4.20584393e+000
4.54545468e-001, 4.14822531e+000
4.84848499e-001, 4.09156561e+000
5.15151501e-001, 4.03576565e+000
5.45454502e-001, 3.98072076e+000
5.75757504e-001, 3.92634392e+000
6.06060505e-001, 3.87256193e+000
6.36363506e-001, 3.81930995e+000
6.66666508e-001, 3.76653171e+000
6.96969509e-001, 3.71417737e+000
7.27272511e-001, 3.66220474e+000
7.57575512e-001, 3.61057496e+000
7.87878513e-001, 3.55925441e+000
8.18181515e-001, 3.50821280e+000
8.48484516e-001, 3.45742321e+000
8.78787518e-001, 3.40686059e+000
9.09090519e-001, 3.35650349e+000
9.39393520e-001, 3.30633259e+000
9.69696522e-001, 3.25633097e+000
9.99999523e-001, 3.20648074e+000
1.03030252e+000, 3.15676904e+000
1.06060553e+000, 3.10718203e+000
1.09090853e+000, 3.05770874e+000
1.12121153e+000, 3.00833821e+000
1.15151453e+000, 2.95906091e+000
1.18181753e+000, 2.90986800e+000
1.21212053e+000, 2.86075163e+000
1.24242353e+000, 2.81170487e+000
1.27272654e+000, 2.76272082e+000
1.30302954e+000, 2.71379399e+000
1.33333254e+000, 2.66491938e+000
1.36363554e+000, 2.61609149e+000
1.39393854e+000, 2.56730676e+000
1.42424154e+000, 2.51856041e+000
1.45454454e+000, 2.46984959e+000
1.48484755e+000, 2.42117047e+000
1.51515055e+000, 2.37252069e+000
1.54545355e+000, 2.32389712e+000
1.57575655e+000, 2.27529740e+000
1.60605955e+000, 2.22671962e+000
1.63636255e+000, 2.17816114e+000
1.66666555e+000, 2.12962055e+000
1.69696856e+000, 2.08109641e+000
1.72727156e+000, 2.03258705e+000
1.75757456e+000, 1.98409104e+000
1.78787756e+000, 1.93560708e+000
1.81818056e+000, 1.88713443e+000
1.84848356e+000, 1.83867145e+000
1.87878656e+000, 1.79021776e+000
1.90908957e+000, 1.74177217e+000
1.93939257e+000, 1.69333410e+000
1.96969557e+000, 1.64490306e+000
1.99999857e+000, 1.59647799e+000
2.03030157e+000, 1.54805863e+000
2.06060457e+000, 1.49964428e+000
2.09090757e+000, 1.45123470e+000
2.12121058e+000, 1.40282917e+000
2.15151358e+000, 1.35442770e+000
2.18181658e+000, 1.30602944e+000
2.21211958e+000, 1.25763428e+000
2.24242258e+000, 1.20924187e+000
2.27272558e+000, 1.16085255e+000
2.30302858e+000, 1.11246526e+000
2.33333158e+000, 1.06408072e+000
2.36363459e+000, 1.01569796e+000
2.39393759e+000, 9.67317402e-001
2.42424059e+000, 9.18938577e-001
2.45454359e+000, 8.70561421e-001
2.48484659e+000, 8.22185755e-001
2.51514959e+000, 7.73811698e-001
2.54545259e+000, 7.25438356e-001
2.57575560e+000, 6.77065909e-001
2.60605860e+000, 6.28694177e-001
2.63636160e+000, 5.80322981e-001
2.66666460e+000, 5.31952202e-001
2.69696760e+000, 4.83581692e-001
2.72727060e+000, 4.35211331e-001
2.75757360e+000, 3.86841297e-001
2.78787661e+000, 3.38471144e-001
2.81817961e+000, 2.90100992e-001
2.84848261e+000, 2.41730660e-001
2.87878561e+000, 1.93360195e-001
2.90908861e+000, 1.44987762e-001
2.93939161e+000, 9.66098160e-002
2.96969461e+000, 4.82170358e-002
2.99999762e+000, 1.99298654e-003


