[Name]
Chart Line 5

[Data]
Y [ m ],Temperature [ K ]
0.00000000e+000, 3.73149994e+002
1.01010106e-003, 3.73149994e+002
2.02020211e-003, 3.73149963e+002
3.03030317e-003, 3.73150024e+002
4.04040422e-003, 3.73150024e+002
5.05050551e-003, 3.73149994e+002
6.06060680e-003, 3.73149994e+002
7.07070809e-003, 3.73149994e+002
8.08080938e-003, 3.73149994e+002
9.09091067e-003, 3.73149963e+002
1.01010120e-002, 3.73149994e+002
1.11111132e-002, 3.73149994e+002
1.21212145e-002, 3.73150024e+002
1.31313158e-002, 3.73150024e+002
1.41414171e-002, 3.73149994e+002
1.51515184e-002, 3.73149994e+002
1.61616188e-002, 3.73149994e+002
1.71717200e-002, 3.73149994e+002
1.81818213e-002, 3.73150024e+002
1.91919226e-002, 3.73149994e+002
2.02020239e-002, 3.73150024e+002
2.12121252e-002, 3.73149994e+002
2.22222265e-002, 3.73150024e+002
2.32323278e-002, 3.73150024e+002
2.42424291e-002, 3.73150024e+002
2.52525304e-002, 3.73149994e+002
2.62626316e-002, 3.73149994e+002
2.72727329e-002, 3.73149994e+002
2.82828342e-002, 3.73149994e+002
2.92929355e-002, 3.73149963e+002
3.03030368e-002, 3.73149994e+002
3.13131362e-002, 3.73149994e+002
3.23232375e-002, 3.73149963e+002
3.33333388e-002, 3.73149963e+002
3.43434401e-002, 3.73149963e+002
3.53535414e-002, 3.73149963e+002
3.63636427e-002, 3.73149963e+002
3.73737440e-002, 3.73149933e+002
3.83838452e-002, 3.73149902e+002
3.93939465e-002, 3.73149811e+002
4.04040478e-002, 3.73149719e+002
4.14141491e-002, 3.73149536e+002
4.24242504e-002, 3.73149384e+002
4.34343517e-002, 3.73148987e+002
4.44444530e-002, 3.73148590e+002
4.54545543e-002, 3.73147766e+002
4.64646555e-002, 3.73146637e+002
4.74747568e-002, 3.73145386e+002
4.84848581e-002, 3.73142578e+002
4.94949594e-002, 3.73139771e+002
5.05050607e-002, 3.73134705e+002
5.15151620e-002, 3.73128143e+002
5.25252633e-002, 3.73120453e+002
5.35353646e-002, 3.73105896e+002
5.45454659e-002, 3.73091339e+002
5.55555671e-002, 3.73066254e+002
5.65656684e-002, 3.73035858e+002
5.75757697e-002, 3.72999725e+002
5.85858710e-002, 3.72940002e+002
5.95959723e-002, 3.72880249e+002
6.06060736e-002, 3.72783386e+002
6.16161749e-002, 3.72672485e+002
6.26262724e-002, 3.72540100e+002
6.36363700e-002, 3.72345612e+002
6.46464676e-002, 3.72151184e+002
6.56565651e-002, 3.71855927e+002
6.66666627e-002, 3.71533508e+002
6.76767603e-002, 3.71152466e+002
6.86868578e-002, 3.70645935e+002
6.96969554e-002, 3.70139374e+002
7.07070529e-002, 3.69421722e+002
7.17171505e-002, 3.68666351e+002
7.27272481e-002, 3.67791138e+002
7.37373456e-002, 3.66719360e+002
7.47474432e-002, 3.65647583e+002
7.57575408e-002, 3.64231567e+002
7.67676383e-002, 3.62781036e+002
7.77777359e-002, 3.61142883e+002
7.87878335e-002, 3.59265076e+002
7.97979310e-002, 3.57387329e+002
8.08080286e-002, 3.55069000e+002
8.18181261e-002, 3.52736816e+002
8.28282237e-002, 3.50177246e+002
8.38383213e-002, 3.47390076e+002
8.48484188e-002, 3.44590088e+002
8.58585164e-002, 3.41375305e+002
8.68686140e-002, 3.38160553e+002
8.78787115e-002, 3.34736145e+002
8.88888091e-002, 3.31147278e+002
8.98989066e-002, 3.27531281e+002
9.09090042e-002, 3.23643311e+002
9.19191018e-002, 3.19755310e+002
9.29291993e-002, 3.15738007e+002
9.39392969e-002, 3.11641693e+002
9.49493945e-002, 3.07529114e+002
9.59594920e-002, 3.03325104e+002
9.69695896e-002, 2.99121124e+002
9.79796872e-002, 2.95627563e+002
9.89897847e-002, 2.92465912e+002
9.99998823e-002, 2.88778748e+002


